Race/ethnicity ,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"White, non-Hispanic",91.2,87.0,84.7,84.1,83.0,82.7,85.1,85.1,82.8,79.2,74.9,71.8,70.2
"Black, non-Hispanic ",145.4,137.3,131.4,128.8,127.9,127.9,134.4,134.5,131.6,125.9,119.4,112.3,109.0
Hispanic,161.3,160.5,159.0,159.1,159.2,161.1,166.7,164.6,154.1,140.1,126.1,116.0,111.5
American Indian/Alaska Native,117.2,113.8,110.7,107.0,105.4,102.9,106.8,105.8,102.7,96.3,91.0,86.6,81.7
Asian and Pacific Islander,60.3,56.0,55.5,54.3,53.3,52.9,53.8,53.2,50.4,46.4,42.6,41.9,41.4
