Race/ethnicity,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
"   White, non-Hispanic",15.8,14.0,13.1,12.4,12.0,11.5,11.8,11.9,11.6,11.0,10.0,9.0,8.4
"   Black, non-Hispanic ",50.1,44.8,40.6,38.2,36.4,34.1,35.2,34.6,33.6,31.0,27.4,24.6,21.9
   Hispanic,55.5,51.9,49.3,47.6,47.3,45.8,45.1,44.4,42.2,37.3,32.3,28.0,25.5
   American Indian/Alaska Native,34.1,30.2,28.8,27.9,26.7,26.3,25.9,26.1,25.8,23.6,20.1,18.2,17.0
   Asian and Pacific Islander,11.6,10.1,8.8,8.5,8.4,7.7,8.2,7.4,7.0,6.3,5.1,4.6,4.1
